1	30	5
2	36	6
3	43	7
4	52	9
5	62	10
6	75	12
7	90	15
8	107	18
9	129	21
10	155	24
11	186	26
12	223	29
13	267	31
14	321	35
15	385	38
16	462	42
17	555	46
18	666	51
19	799	56
20	958	59
21	1150	61
22	1380	65
23	1656	68
24	1987	71
25	2385	75
26	2862	78
27	3434	82
28	4121	87
29	4945	91
30	5934	95
31	7121	100
32	8546	105
33	10255	110
34	12306	116
35	14767	122
36	17720	128
37	21264	134
38	25517	141
39	30620	148
40	36744	155
41	44093	163
42	52912	171
43	63494	180
44	76193	189
45	91432	198
46	109718	208
47	131661	219
48	157994	230
49	189592	241
50	227511	253
51	273013	258
52	327616	263
53	393139	269
54	471767	274
55	566120	279
56	679344	285
57	815213	291
58	978255	296
59	1173907	302
60	1408688	308
61	1690425	315
62	2028511	321
63	2434213	327
64	2921055	334
65	3505266	341
66	4206319	347
67	5047583	354
68	6057100	361
69	7268520	369
70	8722224	376
71	10466669	384
72	12560002	391
73	15072003	399
74	18086404	407
75	21703684	415
76	26044421	423
77	31253305	432
78	37503966	441
79	45004760	449
80	54005712	458
81	64806854	468
82	77768225	477
83	93321870	486
84	111986243	496
85	134383492	506
86	161260191	516
87	193512229	527
88	232214674	537
89	278657609	548
90	334389131	559
91	401266957	570
92	481520349	581
93	577824419	593
94	693389303	605
95	832067163	617
96	998480596	629
97	1198176715	642
98	1437812058	655
99	1725374469	668
100	2070449363	681
101	2484539236	695
102	2981447083	709
103	3577736499	723
104	4293283799	737
105	5151940559	752
106	6182328671	767
107	7418794405	782
108	8902553286	798
109	10683063943	814
110	12819676732	830
111	15383612078	847
112	18460334494	864
113	22152401393	881
114	26582881671	899
115	31899458006	917
116	38279349607	935
117	45935219528	954
118	55122263434	973
119	66146716120	992
120	79376059345	1012
121	95251271213	1032
122	114301525456	1053
123	137161830547	1074
124	164594196657	1096
125	197513035988	1117
126	237015643186	1140
127	284418771823	1163
128	341302526187	1186
129	409563031425	1210
130	491475637710	1234
131	589770765252	1258
132	707724918302	1284
133	849269901963	1309
134	1019123882355	1335
135	1222948658826	1362
136	1467538390592	1389
137	1761046068710	1417
138	2113255282452	1446
139	2535906338943	1474
140	3043087606731	1504
141	3651705128077	1534
142	4382046153693	1565
143	5258455384431	1596
144	6310146461318	1628
145	7572175753581	1660
146	9086610904297	1694
147	10903933085157	1728
148	13084719702188	1762
149	15701663642626	1797
150	18841996371151	1833
151	22610395645381	1870
152	27132474774458	1907
153	32558969729349	1946
154	39070763675219	1984
155	46884916410263	2024
156	56261899692315	2065
157	67514279630778	2106
158	81017135556934	2148
159	97220562668321	2191
160	116664675201985	2235
161	139997610242382	2279
162	167997132290858	2325
163	201596558749030	2372
164	241915870498836	2419
165	290299044598603	2467
166	348358853518323	2517
167	418030624221988	2567
168	501636749066385	2618
169	601964098879662	2671
170	722356918655595	2724
171	866828302386714	2779
172	1040193962864050	2834
173	1248232755436860	2891
174	1497879306524240	2949
175	1797455167829080	3008
176	2156946201394900	3068
177	2588335441673880	3129
178	3106002530008660	3192
179	3727203036010390	3256
180	4472643643212470	3321
181	5367172371854970	3387
182	6440606846225970	3455
183	7728728215471160	3524
184	9274473858565390	3594
185	11129368630278500	3666
186	13355242356334200	3740
187	16026290827601000	3815
188	19231548993121200	3891
189	23077858791745400	3969
190	27693430550094500	4048
191	33232116660113400	4129
192	39878539992136100	4212
193	47854247990563400	4296
194	57425097588676000	4382
195	68910117106411200	4469
196	82692140527693500	4559
197	99230568633232100	4650
198	119076682359879000	4743
199	142892018831854000	4838
