1	30	10
2	36	12
3	43	14
4	51	17
5	62	21
6	74	23
7	89	26
8	107	28
9	128	31
10	154	34
11	185	38
12	222	41
13	267	46
14	320	50
15	385	55
16	462	58
17	554	61
18	665	64
19	798	67
20	958	71
21	1150	74
22	1380	78
23	1656	82
24	1987	86
25	2384	90
26	2861	95
27	3434	100
28	4121	105
29	4945	110
30	5934	115
31	7121	121
32	8545	127
33	10254	134
34	12305	140
35	14766	147
36	17720	155
37	21264	163
38	25516	171
39	30620	179
40	36744	188
41	44093	198
42	52911	208
43	63494	218
44	76192	229
45	91431	241
46	109717	253
47	131661	258
48	157993	263
49	189592	268
50	227510	273
51	273013	279
52	327615	284
53	393138	290
54	471766	296
55	566120	302
56	679344	308
57	815212	314
58	978255	320
59	1173906	327
60	1408687	333
61	1690425	340
62	2028510	347
63	2434212	354
64	2921055	361
65	3505266	368
66	4206319	376
67	5047583	383
68	6057099	391
69	7268519	399
70	8722223	407
71	10466668	415
72	12560002	423
73	15072002	431
74	18086403	440
75	21703684	449
76	26044421	458
77	31253305	467
78	37503966	476
79	45004759	486
80	54005711	496
81	64806853	506
82	77768224	516
83	93321869	526
84	111986243	537
85	134383492	547
86	161260190	558
87	193512228	569
88	232214674	581
89	278657609	592
90	334389131	604
91	401266957	616
92	481520348	629
93	577824418	641
94	693389302	654
95	832067163	667
96	998480595	681
97	1198176714	694
98	1437812057	708
99	1725374469	722
100	2070449363	737
101	2484539235	752
102	2981447082	767
103	3577736499	782
104	4293283799	798
105	5151940559	814
106	6182328670	830
107	7418794405	846
108	8902553286	863
109	10683063943	881
110	12819676731	898
111	15383612078	916
112	18460334493	935
113	22152401392	953
114	26582881671	972
115	31899458005	992
116	38279349606	1012
117	45935219528	1032
118	55122263433	1052
119	66146716120	1074
120	79376059344	1095
121	95251271213	1117
122	1.143E+11	1139
123	1.3716E+11	1162
124	1.6459E+11	1185
125	1.9751E+11	1209
126	2.3702E+11	1233
127	2.8442E+11	1258
128	3.413E+11	1283
129	4.0956E+11	1309
130	4.9148E+11	1335
131	5.8977E+11	1362
132	7.0772E+11	1389
133	8.4927E+11	1417
134	1.0191E+12	1445
135	1.2229E+12	1474
136	1.4675E+12	1503
137	1.761E+12	1534
138	2.1133E+12	1564
139	2.5359E+12	1595
140	3.0431E+12	1627
141	3.6517E+12	1660
142	4.382E+12	1693
143	5.2585E+12	1727
144	6.3101E+12	1762
145	7.5722E+12	1797
146	9.0866E+12	1833
147	1.0904E+13	1869
148	1.3085E+13	1907
149	1.5702E+13	1945
150	1.8842E+13	1984
151	2.261E+13	2024
152	2.7132E+13	2064
153	3.2559E+13	2105
154	3.9071E+13	2147
155	4.6885E+13	2190
156	5.6262E+13	2234
157	6.7514E+13	2279
158	8.1017E+13	2325
159	9.7221E+13	2371
160	1.1666E+14	2418
161	1.4E+14	2467
162	1.68E+14	2516
163	2.016E+14	2567
164	2.4192E+14	2618
165	2.903E+14	2670
166	3.4836E+14	2724
167	4.1803E+14	2778
168	5.0164E+14	2834
169	6.0196E+14	2890
170	7.2236E+14	2948
171	8.6683E+14	3007
172	1.0402E+15	3067
173	1.2482E+15	3129
174	1.4979E+15	3191
175	1.7975E+15	3255
176	2.1569E+15	3320
177	2.5883E+15	3387
178	3.106E+15	3454
179	3.7272E+15	3524
180	4.4726E+15	3594
181	5.3672E+15	3666
182	6.4406E+15	3739
183	7.7287E+15	3814
184	9.2745E+15	3890
185	1.1129E+16	3968
186	1.3355E+16	4047
187	1.6026E+16	4128
188	1.9232E+16	4211
189	2.3078E+16	4295
190	2.7693E+16	4381
191	3.3232E+16	4469
192	3.9879E+16	4558
193	4.7854E+16	4649
194	5.7425E+16	4742
195	6.891E+16	4837
196	8.2692E+16	4920
197	9.9231E+16	5050
198	1.1908E+17	5140
199	1.4289E+17	5300
